Title,Ingredients,Loves,User
ayam woku manado,"ayam kampung , jeruk nipis, garam, kunyit, bawang merah, bawang putih, cabe merah, cabe rawit merah , butir kemiri, batang sereh, daun salam, ikat daun kemangi, penyedap rasa, gelas air,",1,1
ayam goreng tulang lunak,"ayam , batang serai , daun jeruk, butir bawang putih , ketumbar , laos , kunyit , butir kemiri , garam, air , minyak goreng,",1,2
ayam cabai kawin,"ayam, cabai hijau besar, cabai merah rawit, bawang putih, bawang merah, gula, garam, tomat merah, air, minyak goreng,",2,3
ayam geprek,"daging ayam , gula garam, tepung ayam , lalapan , minyak panas, sambal korek, cabe rawit merah bwg putih,",10,4
minyak ayam,"kulit ayam & lemaknya, bawang putih cincang kasar, jahegeprek, minyak goreng, ketumbar bubuk,",4,5
nasi bakar ayam,"piring nasi, ¹ ⁴ fillet ayampotong kotak , daun pisang dibersihkan, lidi tusuk gigi mengapit daun, lbr daun salam, cm seraimemarkan, ikat daun kemangiopsional, cabe merah tipis, kecap manis, minyak menumis, air, halus, cabe merah besar, cabe kecil, bawang merah, bawang putih, kemiri, cm kunyit, ¹ ² jahe, ¹ ⁴ tomat, gula pasir, blok kaldu ayam pake roycomasako, merica ,",1,6
ayam saus hintalu jaruk,"ayam, butir hintalu jaruk, cabe merah, cabe hijau, tepung terigu, bks merica bubuk, bawang putih, jeruk nipis, minyak goreng menumis , gulagaram penyedap rasa,",0,7
ayam saos teriyaki lada hitam,"ayam dada tulang, bawang bombay, bawang daun, bawang putih, cabe merah besar, cabe ijo besar, , air, mentega menumis, saos teriyaki , gula pasir, royco ayam, larutan meizena,",0,8
steak ayam,"dada ayam fillet, air jeruk nipis, garam, , terigu, maizena, merica, garam, air, adonan kering, terigu, maizena, merica bubuk, kaldu jamur, garam, minyak goreng, saus jamur, jamur tiram blender, bawang putih cincang halus, keju parut, maizena cairkan dgn air, saus tiram, kecap manis, merica halus, garam & kaldu jamur, air, pelengkap, buncis wortel kukus,",6,9
ayam saos asam manis simple,"ayam dada fillet , air jeruk nipis utk baluran, tepung ayam instan uk + campur tepung terigu, b.putih , b.merah , b.bombay , tomat uk , saos sambal, saos tiram, gula & garam, merica bubuk,",6,10
mie ayam homemade by suami,"mie ayam , tepung terigu , butir telur, sendok minyak goreng, air, secukupnyaa garam, , air, minyak goreng, halus kuah ayam mie ayam , dada ayam, bawang merah, bawang putih, kemiri, lada, ketumbar, jahe, lengkuas, sereh, daun jeruk, daun salam, kecap, gula merah, minyak menumis, pelengkap , daun bawang, sawi hijau, bawang goreng, sambal , cabai rawit merah, garam, air merebus,",0,11
ayam bakar pedas manis resep nila sari,"ayam broiler ukuran jumbo, , bawang merah, cabe , jahe, kunyit, lada bubuk, ketumbar, daun jeruk, daun salam, batang serai, putih, kecap, gula merah, minyak goreng, royco, garam, santan kara,",8,12
semur ayam kentang ala mama kirana,"ayam, kentang, halus , bawang putih sesuaikan sesuaikan, bawang merah, merica, kemiri, biji pala, cabai merah kritingbila suka pedas, jahe, rempah, daun salam, lengkuas, sereh, kapulaga, kulit manis, an bawang bombay, an tomat, garam, kecap manis, penyedap rasa, jeruk nipis ayam,",2,13
ayam suwir,"am ayam suwir , bawang merah, bawang putih, tomat, merica, terasi, cabe rawit, cabe kriting, gula, garam, air, penyedap , daun salam, lengkuas geprek,",0,14
ayam goreng tepung,"fillet ayam, tepung , butir telur ayam , garam , minya goreng ,",1,15
tulang ayam pedas manis,"tulang ayam bersihkan potong, cabe merah keriting, cabe rawit , butir bawang merah, butir bawang putih, kunyit, lbr daun salam, lbr daun jeruk, btg sereh geprek, jahe geprek, btr jeruk nipis, kaldu bubuk, gula pasir, kecap manis, air merebus tulang, minyak menumis,",3,16
ayam penyet rumahan,"ayam ne i ptng air jeruk nipis cuci lagi, jeruk nipis, ayam goreng jdyg bsah. beli pasaraku beli rb, lmbr daun salam, lmbr daun jeruk, btng sere geprek, garam penyedap, minyak goreng, sambel penyet, cabe rawit merah, cabe merah, bawang p , bawang merah goreng sebentr, penyedap gula,",3,17
sop ayam,"ayam potong kecil, ceker ayam bersihkan, kentang , wortel , mangkok makaroni , batang daun bawang , batang daun seledri , dihaluskan , bawang merah, bawang putih, tam , sendok teh lada halus, garam, penyedap ,",3,18
ayam suwir,"m dada ayam, daun jeruk, bawang putih, bawang merah, cm jahe, cm kunyit, garam gula, minyak menumis,",0,19
nugget ayam home made,"ayam d fillet ambil dagingnya aja, wortel, daun bawang prei, bawang putih, bawang merah, merica, tepung tapioka, telur ayam, garampenyedap rasa, tepung roti tepung panir,",6,20
ayam koloke,"ayam filletpotong potong, tepung , pelapis, tepung terigu, maizena, saus, butter margarin, bawang putihcincang halus, bawang bombai uk. , wortel , timun , btg daun bawang , cabe merah , cabe rawit , saus tomat, saus tiram, minyak wijen, air lemon jeruk nipis cuka masak, air, gara adagula, maizena ,",3,21
mie tulang ayam,"tulang ayam, mie burung dara, bawang putih, bawang merah, cabe rawit, tangkai daun bawang, tangkai seledri, merica bubuk, saos cabe, kecap manis, gula garam, minyak menumis,",1,22
ayam suir bali,"dada ayam , minyak goreng, , cabai merah, tomat, cabe rawit, garam, gula jawa, terasi bakar, perasan jeruk limo, daun jeruk purut,",0,23
pindang ayam jadul,"ayam, btr bawang merah halus, cabe rawit halus, cm jahe halus, cm lengkuas halus, kunyit halus, asam jawa, terasi bangka panggang, tomat potong , daun kemangi ,",0,24
ayam kacang saos hoisin,"daging, paha dada ayam, kecap asinarak berastapioka, saos, ikat kacang panjang, baput cincang halus, cm jahe cincang halus, saos hoisin, kecap asin, . micin, air, larutan tapioka,",2,25
tongseng ayam,"g daging ayam , cc santan dr butir kelapa , daun jeruk, daun salam, lengkuas , batang serai , cabe rawit hijau, batang daun bawang , tomat , kecap manis, kentang ukuran , kol , garamkaldu bubu ula pasir , bawang goreng taburan, minyak menumis, halus ;, bawang merah, bawang putih, jahe, kunyit, ketumbar, merica, butir kemiri san ai, cabai merah besar,",1,26
ayam penyet sambel kemangi,"dada ayam, ikat daun kemangi, timun uk sedang, racik tempe, sambel, cabe merah, cabe rawit, bamer, baput, gula, garam, tomat merah, terasi, minyak utk , air utk mengungkep ayam,",0,27
nugget ayam wortel,"am daging ayam giling, wortel ukuran sedang, bawang bombay, bawang putih, batang daun bawang, butir telur ayam, am tepung terigu , tepung roti, garam, lada, penyedap ayam, minyak goreng,",4,28
ayam goreng pedas gila ala kfc,"ayam, tepung uk g yg pedas , air es, minyak goreng,",2,29
chicken teriyaki,"daging ayam memanjang, bawang bombay memanjang, gula, garan, air, minyak menumis, perendam , saus teriyaki, saus tiram, kecap manis, minyak wijen, bawang putihhaluskan, cm jahehaluskan, merica, kaldu bubuk,",1,30
ayam kecap pedas jeruk limao,"ayam potong , lbr daun salam, jahe geprek, lbr daun jerukbuang tulangnya, jeruk limao, air perasn jeruk nipis, garammericagula pasirkaldu bubuk, kecap manis, air, bawang bombay , halus , bawang putih, bawang merah, cabe keriting merah, cabe rawit merah,",46,31
resep ayam kecap rumahan,"ayam, yg haluskan , bawang putih, bawang merah, sesuai selera cabe rawit cabe merah besar, cm jahe, lada pala, lengkuas jempol kaki, biji kemiri,",0,32
sop ayam garang asam,"ayam, serai, cm jahe, cabe rawit merah, bawang putih, bawang merah, tomat hijau, jeruk nipis , daun jeruk, daun bawang, garam, penyedap, air matang,",2,33
ayam goreng krutuk,"tepung terigu, air matang, ayam , garam, gula penyedap, lada bubuk, butir telur ayam, minyak goreng,",4,34
ayam panggang saos kecap,"ayam panggang ;, ayam potong sesuai selera, bawang merahulek halus, bawang putihulek halus, kunyitdan garamulek halus, olesan ayam ;, kecap manissaus tomatsedikit minyakdicampur, saos kecap cocolan ;, sesuai selera kecap manis, bawang merah melintang tebal, bawang putihulek halus, cabe rawitulek halus, tomat potong sesuai selera, jeruk nipis , arang memanggang ayam,",0,35
soto ayam kuah santan,"ayam , santan kara, cm kunyit, cm jahe, lada, daun sala engkuasdaun jeruk sereh, bawang merah, bawang putih, penyedap gulagaram royko ayam, pelengkap, tomat, daun bawang seledri, bihun , bawang goreng, kol potong tipis, goreng, kerupuk, bawang goreng, jeruk nipis, sambal ,",3,36
ayam goreng kuning,"potong ayam, air, minyak goreng, halus , bawang putih, kunyit, jahe, ketumbar, garam,",15,37
mie geprek,"mie burung dara, ons dada ayam, tepung terigu, kubis, bawang putih, kecap, royco sapi, garam, ebi, minyak wijen, saus tiram, lada bubuk, minyak goreng, air, cabe rawit, bawang merah,",2,38
seblak mie tulang ayam,"mie burung dara, tulang ayam sisa filet , sawi hijau, sawi putih, garam, gula, halus , bawang merah, bawang putih, cabe keritinh, cabe rawit , kencur,",0,39
sweet buffalo chicken,"utama, paha ayam , pelapis ayam , garam, lada hitam bubuk, paprika bubuk, tepung terigu, saus, margarin unsalted, bawang putih bubuk, gula merah bubuk, saus tomat, saus sambal, garam, wijen,",0,40
ayam garang asem,"ayam, daun pisang, santan kara kecil, jeruk nipis, rajang, cabai rawit, cabai merah, tomat hijau kecil, bawang merah, bawanh putih, tam , laos, jahe, daun jeruk, daun salam, batang serai, garam gulpas air minyak goreng,",3,41
