Title,Ingridients,combined
gurame saus padang,"utama, gurame, saus, bawang putih , bawang merah , cabai merah banyaknya cabai sesuai selera ya, cabai rawit tipis , bawang bombang , saus tiram, saus tomat, garam, gula, lada, wortel tipis memanjang , tomat potong dadu , batang an daun bawang, jahe ukuran tipis, tepung maizena, air, ikan , tepung beras, tepung terigu, garam, jeruk nipis lemon, minyak sayur,","gurame saus padang utama, gurame, saus, bawang putih , bawang merah , cabai merah banyaknya cabai sesuai selera ya, cabai rawit tipis , bawang bombang , saus tiram, saus tomat, garam, gula, lada, wortel tipis memanjang , tomat potong dadu , batang an daun bawang, jahe ukuran tipis, tepung maizena, air, ikan , tepung beras, tepung terigu, garam, jeruk nipis lemon, minyak sayur,"
ikan kembung bakar teflon,"ikan kembung satebersihkan, jeruk sate jeruk kunci, garam halus, lada bubuk, ketumbar bubuk,","ikan kembung bakar teflon ikan kembung satebersihkan, jeruk sate jeruk kunci, garam halus, lada bubuk, ketumbar bubuk,"
mujaer asam pedas manis,"ikan mujaer , wortel potong korek api, bawang bombai, bawang putih, cabai rawit, bawang merah, sendok makan saos tomat, sendok makan saos tiram, garam, merica, air matang, jahe, jeruk nipis,","mujaer asam pedas manis ikan mujaer , wortel potong korek api, bawang bombai, bawang putih, cabai rawit, bawang merah, sendok makan saos tomat, sendok makan saos tiram, garam, merica, air matang, jahe, jeruk nipis,"
gurame asam manis,"ikan gurame, wortel , bumbu, bawang merah, bawang purih, tomat, cabe , cage , sacet saos sambel, saos tomat , tam , tepung maezena, kunir, garamgulamerica ladaku,","gurame asam manis ikan gurame, wortel , bumbu, bawang merah, bawang purih, tomat, cabe , cage , sacet saos sambel, saos tomat , tam , tepung maezena, kunir, garamgulamerica ladaku,"
asam padeh ikan tuna,"ikan tuna, bawang merah, bawang putih, kemiri, batang serai, kunyit, laos, daun jeruk, daun kunyit, asam kandis, belimbing hulu, cabai merah , cabai rawit , gelas air, sendok garam, sendok gula,","asam padeh ikan tuna ikan tuna, bawang merah, bawang putih, kemiri, batang serai, kunyit, laos, daun jeruk, daun kunyit, asam kandis, belimbing hulu, cabai merah , cabai rawit , gelas air, sendok garam, sendok gula,"
avocado tuna salad,"kaleng tuna chunks, butir telur rebus, kentang rebus, avocado, bawang merah, biji zaitun, timun, sebongkol daun salada lettuce, garam & merica,","avocado tuna salad kaleng tuna chunks, butir telur rebus, kentang rebus, avocado, bawang merah, biji zaitun, timun, sebongkol daun salada lettuce, garam & merica,"
lele asam manis,"lele segar, air, kecap manis, margarine minyak, saus tiram , halus , bawang merah, bawang putih, cabe merah , kemiri, garam , penyedap , gula pasir ,","lele asam manis lele segar, air, kecap manis, margarine minyak, saus tiram , halus , bawang merah, bawang putih, cabe merah , kemiri, garam , penyedap , gula pasir ,"
pempek kulit ikan tenggiri,"kulit ikan tenggiri halu, cc air matang, garam, penyedap kaldu jamur, merica, gula, santan kental, bawang putih, bawang merah, sagu tani, terigu, sagu balur,","pempek kulit ikan tenggiri kulit ikan tenggiri halu, cc air matang, garam, penyedap kaldu jamur, merica, gula, santan kental, bawang putih, bawang merah, sagu tani, terigu, sagu balur,"
tumis tongkol petai,"tongkol, cabe gendot, papan petai, cabe rawit, cabe merah, b. merah, b. putih, daun salam, garam, gula putih,","tumis tongkol petai tongkol, cabe gendot, papan petai, cabe rawit, cabe merah, b. merah, b. putih, daun salam, garam, gula putih,"
ikan patin pedas manis,"ikan patin, bawang merah tipis, bawang putih tipis, bawang bombay ukuran tipis, cabai merah keriting tipis, cabai rawit setan biarkan utuh, lengkuas digeprek, daun jeruk, sendok makan kecap, batang bawang daun tipis,","ikan patin pedas manis ikan patin, bawang merah tipis, bawang putih tipis, bawang bombay ukuran tipis, cabai merah keriting tipis, cabai rawit setan biarkan utuh, lengkuas digeprek, daun jeruk, sendok makan kecap, batang bawang daun tipis,"
gurame tauco,"gurame, kotak, jeruk nipis, bawang bombay, bawang putih, jahe, cabe hijau buang biji, cabe merah besar, tauco, kecap asin, kecap manis, saos tiram, minyak wijen, angciu,","gurame tauco gurame, kotak, jeruk nipis, bawang bombay, bawang putih, jahe, cabe hijau buang biji, cabe merah besar, tauco, kecap asin, kecap manis, saos tiram, minyak wijen, angciu,"
ikan patin,"potong ikan patin, jeruk nipis, tomat uk. sedang, cabai hijau keriting , cabai rawit cengek , batang serai , lengkuas , dihaluskan, bawang merah, bawang putih, kemiri, kunyit bubuk, cabai merah besar, nb hoby pedastambahkan cabai sesuai selera ,","ikan patin potong ikan patin, jeruk nipis, tomat uk. sedang, cabai hijau keriting , cabai rawit cengek , batang serai , lengkuas , dihaluskan, bawang merah, bawang putih, kemiri, kunyit bubuk, cabai merah besar, nb hoby pedastambahkan cabai sesuai selera ,"
. gulai ikan kakap merah khas padang,"ikan kakap merah ukuran besarpotong , papan tempe, halus , bawang merah, bawang putih, cm jahe, cm kunyit, tam , cabe giling halus, lbr daun kunyit, lbr daun jeruk, btg sereh, lbr daun salam, asam kandis, daun ruku ruku segenggam , butir rawit merah, santan kara, air,",". gulai ikan kakap merah khas padang ikan kakap merah ukuran besarpotong , papan tempe, halus , bawang merah, bawang putih, cm jahe, cm kunyit, tam , cabe giling halus, lbr daun kunyit, lbr daun jeruk, btg sereh, lbr daun salam, asam kandis, daun ruku ruku segenggam , butir rawit merah, santan kara, air,"
gurame crispy asam manis ala amih fatih,"ikan , ikan gurame fillet, jeruk nipis, lada bubuk, garam, bawang putih, pack tepung pedas, telur kocok lepas, saus , bawang bombay , bawang putih , wortel potong sesuai selera, saus tiram, saus tomat, saus sambal, gula, garam, lada, air,","gurame crispy asam manis ala amih fatih ikan , ikan gurame fillet, jeruk nipis, lada bubuk, garam, bawang putih, pack tepung pedas, telur kocok lepas, saus , bawang bombay , bawang putih , wortel potong sesuai selera, saus tiram, saus tomat, saus sambal, gula, garam, lada, air,"
balado tongkol &,"ikan tongkol , ukuran lecil, daun jeruk, gula & garam, halus , bawang merah, bawang putih, cabe merah, cabe rawit, tomat, gula merah ukuran sedang,","balado tongkol & ikan tongkol , ukuran lecil, daun jeruk, gula & garam, halus , bawang merah, bawang putih, cabe merah, cabe rawit, tomat, gula merah ukuran sedang,"
balado ikan sarden,"ikan sarden, jeruk nipis, garam, balado, cabe keriting, bawang merah, tomat, garam + gula + penyedap rasa,","balado ikan sarden ikan sarden, jeruk nipis, garam, balado, cabe keriting, bawang merah, tomat, garam + gula + penyedap rasa,"
ikan nila (saos pedas asam manis),"ikan nila ukuran jumbo, ons selada, batang buncis , kentang , wortel , saos , bawang bombay ukuran kecil, bawang putih, saos sambal, saos tomat, saos tiram, garam, lada merica bubuk, minyak goreng, gelas air,","ikan nila (saos pedas asam manis) ikan nila ukuran jumbo, ons selada, batang buncis , kentang , wortel , saos , bawang bombay ukuran kecil, bawang putih, saos sambal, saos tomat, saos tiram, garam, lada merica bubuk, minyak goreng, gelas air,"
sarden kangkung 😘,"kaleng ikan sarden, gengam kangkunng , bawangputih, bwng mrah, sesuai selera cabe rawit, btng daun bwang, btng sereh, jahe, lbar daun jeruk, garam, royco, gula, kecap, air, minyak menumis bumbu, kaleng ikan sarden, gengam kangkunng , bawangputih, bwng mrah, sesuai selera cabe rawit, btng daun bwang, btng sereh, jahe, lbar daun jeruk, garam, royco, gula, kecap, air, minyak menumis bumbu,","sarden kangkung 😘 kaleng ikan sarden, gengam kangkunng , bawangputih, bwng mrah, sesuai selera cabe rawit, btng daun bwang, btng sereh, jahe, lbar daun jeruk, garam, royco, gula, kecap, air, minyak menumis bumbu, kaleng ikan sarden, gengam kangkunng , bawangputih, bwng mrah, sesuai selera cabe rawit, btng daun bwang, btng sereh, jahe, lbar daun jeruk, garam, royco, gula, kecap, air, minyak menumis bumbu,"
